Date,Close/Last,Volume,Open,High,Low,Close,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,RSI,Daily_Return,MACD,MACD_Signal,MACD_Histogram,Bollinger_Middle,Bollinger_Std,Bollinger_Upper,Bollinger_Lower,ATR,OBV,Sentiment
2024-10-14,$231.30,39882090,228.7,231.73,228.6,231.3,228.64,227.035,226.671,228.787,227.82,226.698,58.13,1.648,1.407,1.171,0.236,226.671,3.599,233.869,219.473,4.152,993823840.0,0.565
2024-10-15,$233.85,64751370,233.61,237.49,232.37,233.85,230.256,227.799,227.524,230.475,228.916,227.379,61.196,1.102,1.805,1.298,0.507,227.524,3.125,233.774,221.274,4.355,1058575210.0,-0.218
2024-10-16,$231.78,34082240,231.6,232.12,229.84,231.78,230.704,228.299,228.078,230.91,229.437,227.798,57.514,-0.885,1.931,1.424,0.507,228.078,2.817,233.712,222.444,4.421,1024492970.0,0.883
2024-10-17,$232.15,32993810,233.43,233.85,230.52,232.15,231.326,228.947,228.242,231.323,229.93,228.212,58.001,0.16,2.037,1.547,0.49,228.242,2.957,234.156,222.328,4.5,1057486780.0,-0.234
2024-10-18,$235.00,46431470,236.18,236.18,234.01,235.0,232.816,229.767,228.583,232.549,230.852,228.859,61.643,1.228,2.324,1.702,0.622,228.583,3.321,235.225,221.941,4.416,1103918250.0,-0.842
2024-10-21,$236.48,36254470,234.45,236.85,234.45,236.48,233.852,231.246,229.083,233.859,231.875,229.585,63.417,0.63,2.641,1.89,0.751,229.083,3.716,236.515,221.651,3.926,1140172720.0,-0.156
2024-10-22,$235.86,38846580,233.885,236.22,232.6,235.86,234.254,232.255,229.508,234.526,232.6,230.182,62.121,-0.262,2.809,2.074,0.735,229.508,3.985,237.478,221.538,3.892,1101326140.0,0.326
2024-10-23,$230.76,52286980,234.08,235.144,227.76,230.76,234.05,232.377,229.727,233.271,232.265,230.237,52.597,-2.162,2.503,2.16,0.343,229.727,3.924,237.575,221.879,4.222,1049039160.0,0.008
2024-10-24,$230.57,31109500,229.98,230.82,228.41,230.57,233.734,232.53,229.88,232.371,231.957,230.269,52.275,-0.082,2.219,2.172,0.047,229.88,3.893,237.666,222.094,4.118,1017929660.0,0.149
2024-10-25,$231.41,38802300,229.74,233.22,229.57,231.41,233.016,232.916,230.06,232.05,231.858,230.378,53.625,0.364,2.038,2.145,-0.107,230.06,3.875,237.81,222.31,3.988,1056731960.0,0.403
2024-10-28,$233.40,36087130,233.32,234.73,232.55,233.4,232.4,233.126,230.08,232.5,232.138,230.666,56.746,0.86,2.032,2.122,-0.09,230.08,3.892,237.864,222.296,3.919,1092819090.0,-0.181
2024-10-29,$233.67,35417250,233.1,234.325,232.32,233.67,231.962,233.108,230.454,232.89,232.417,230.952,57.167,0.116,2.025,2.103,-0.078,230.454,3.859,238.172,222.736,3.71,1128236340.0,0.069
2024-10-30,$230.10,47070910,232.61,233.47,229.55,230.1,231.83,232.94,230.62,231.96,231.995,230.871,50.205,-1.528,1.712,2.025,-0.313,230.62,3.762,238.144,223.096,3.835,1081165430.0,-0.16
